permno,adate,qdate,public_date,bm,TICKER
10302,2004-12-31,2004-12-31,2005-02-28,0.460,CY
10302,2004-12-31,2004-12-31,2005-03-31,0.460,CY
10302,2004-12-31,2004-12-31,2005-04-30,0.460,CY
10302,2004-12-31,2005-03-31,2005-05-31,0.395,CY
10302,2004-12-31,2005-03-31,2005-06-30,0.395,CY
10302,2004-12-31,2005-03-31,2005-07-31,0.395,CY
10302,2004-12-31,2005-06-30,2005-08-31,0.393,CY
10302,2004-12-31,2005-06-30,2005-09-30,0.393,CY
10302,2004-12-31,2005-06-30,2005-10-31,0.393,CY
10302,2004-12-31,2005-09-30,2005-11-30,0.331,CY
10302,2004-12-31,2005-09-30,2005-12-31,0.331,CY
10302,2004-12-31,2005-09-30,2006-01-31,0.331,CY
10302,2005-12-31,2005-12-31,2006-02-28,0.399,CY
10302,2005-12-31,2005-12-31,2006-03-31,0.399,CY
10302,2005-12-31,2005-12-31,2006-04-30,0.399,CY
10302,2005-12-31,2006-03-31,2006-05-31,0.347,CY
10302,2005-12-31,2006-03-31,2006-06-30,0.347,CY
10302,2005-12-31,2006-03-31,2006-07-31,0.347,CY
10302,2005-12-31,2006-06-30,2006-08-31,0.476,CY
10302,2005-12-31,2006-06-30,2006-09-30,0.476,CY
10302,2005-12-31,2006-06-30,2006-10-31,0.476,CY
10302,2005-12-31,2006-09-30,2006-11-30,0.400,CY
10302,2005-12-31,2006-09-30,2006-12-31,0.400,CY
10302,2005-12-31,2006-09-30,2007-01-31,0.400,CY
10302,2006-12-31,2006-12-31,2007-02-28,0.431,CY
10302,2006-12-31,2006-12-31,2007-03-31,0.431,CY
10302,2006-12-31,2006-12-31,2007-04-30,0.431,CY
10302,2006-12-31,2007-03-31,2007-05-31,0.354,CY
10302,2006-12-31,2007-03-31,2007-06-30,0.354,CY
10302,2006-12-31,2007-03-31,2007-07-31,0.354,CY
10302,2006-12-31,2007-06-30,2007-08-31,0.405,CY
10302,2006-12-31,2007-06-30,2007-09-30,0.405,CY
10302,2006-12-31,2007-06-30,2007-10-31,0.405,CY
10302,2006-12-31,2007-09-30,2007-11-30,0.357,CY
10302,2006-12-31,2007-09-30,2007-12-31,0.357,CY
10302,2006-12-31,2007-09-30,2008-01-31,0.357,CY
10302,2007-12-31,2007-12-31,2008-02-29,0.297,CY
10302,2007-12-31,2007-12-31,2008-03-31,0.297,CY
10302,2007-12-31,2007-12-31,2008-04-30,0.297,CY
10302,2007-12-31,2008-03-31,2008-05-31,0.414,CY
10302,2007-12-31,2008-03-31,2008-06-30,0.414,CY
10302,2007-12-31,2008-03-31,2008-07-31,0.414,CY
10302,2007-12-31,2008-06-30,2008-08-31,0.413,CY
10302,2007-12-31,2008-06-30,2008-09-30,0.413,CY
10302,2007-12-31,2008-06-30,2008-10-31,0.413,CY
10302,2007-12-31,2008-09-30,2008-11-30,2.062,CY
10302,2007-12-31,2008-09-30,2008-12-31,2.062,CY
10302,2007-12-31,2008-09-30,2009-01-31,2.062,CY
10302,2008-12-31,2008-12-31,2009-02-28,1.057,CY
10302,2008-12-31,2008-12-31,2009-03-31,1.057,CY
10302,2008-12-31,2008-12-31,2009-04-30,1.057,CY
10302,2008-12-31,2009-03-31,2009-05-31,0.640,CY
10302,2008-12-31,2009-03-31,2009-06-30,0.640,CY
10302,2008-12-31,2009-03-31,2009-07-31,0.640,CY
10302,2008-12-31,2009-06-30,2009-08-31,0.459,CY
10302,2008-12-31,2009-06-30,2009-09-30,0.459,CY
10302,2008-12-31,2009-06-30,2009-10-31,0.459,CY
10302,2008-12-31,2009-09-30,2009-11-30,0.381,CY
10302,2008-12-31,2009-09-30,2009-12-31,0.381,CY
10302,2008-12-31,2009-09-30,2010-01-31,0.381,CY
10302,2009-12-31,2009-12-31,2010-02-28,0.375,CY
10302,2009-12-31,2009-12-31,2010-03-31,0.375,CY
10302,2009-12-31,2009-12-31,2010-04-30,0.375,CY
10302,2009-12-31,2010-03-31,2010-05-31,0.345,CY
10302,2009-12-31,2010-03-31,2010-06-30,0.345,CY
10302,2009-12-31,2010-03-31,2010-07-31,0.345,CY
10302,2009-12-31,2010-06-30,2010-08-31,0.391,CY
10302,2009-12-31,2010-06-30,2010-09-30,0.391,CY
10302,2009-12-31,2010-06-30,2010-10-31,0.391,CY
10302,2009-12-31,2010-09-30,2010-11-30,0.340,CY
10302,2009-12-31,2010-09-30,2010-12-31,0.340,CY
10302,2009-12-31,2010-09-30,2011-01-31,0.340,CY
10302,2010-12-31,2010-12-31,2011-02-28,0.222,CY
10302,2010-12-31,2010-12-31,2011-03-31,0.222,CY
10302,2010-12-31,2010-12-31,2011-04-30,0.222,CY
10302,2010-12-31,2011-03-31,2011-05-31,0.172,CY
10302,2010-12-31,2011-03-31,2011-06-30,0.172,CY
10302,2010-12-31,2011-03-31,2011-07-31,0.172,CY
10302,2010-12-31,2011-06-30,2011-08-31,0.183,CY
10302,2010-12-31,2011-06-30,2011-09-30,0.183,CY
10302,2010-12-31,2011-06-30,2011-10-31,0.183,CY
10302,2010-12-31,2011-09-30,2011-11-30,0.175,CY
10302,2010-12-31,2011-09-30,2011-12-31,0.175,CY
10302,2010-12-31,2011-09-30,2012-01-31,0.175,CY
10302,2011-12-31,2011-12-31,2012-02-29,0.154,CY
10302,2011-12-31,2011-12-31,2012-03-31,0.154,CY
10302,2011-12-31,2011-12-31,2012-04-30,0.154,CY
10302,2011-12-31,2012-03-31,2012-05-31,0.129,CY
10302,2011-12-31,2012-03-31,2012-06-30,0.129,CY
10302,2011-12-31,2012-03-31,2012-07-31,0.129,CY
10302,2011-12-31,2012-06-30,2012-08-31,0.150,CY
10302,2011-12-31,2012-06-30,2012-09-30,0.150,CY
10302,2011-12-31,2012-06-30,2012-10-31,0.150,CY
10302,2011-12-31,2012-09-30,2012-11-30,0.155,CY
10302,2011-12-31,2012-09-30,2012-12-31,0.155,CY
10302,2011-12-31,2012-09-30,2013-01-31,0.155,CY
10302,2012-12-31,2012-12-31,2013-02-28,0.116,CY
10302,2012-12-31,2012-12-31,2013-03-31,0.116,CY
10302,2012-12-31,2012-12-31,2013-04-30,0.116,CY
10302,2012-12-31,2013-03-31,2013-05-31,0.097,CY
10302,2012-12-31,2013-03-31,2013-06-30,0.097,CY
10302,2012-12-31,2013-03-31,2013-07-31,0.097,CY
10302,2012-12-31,2013-06-30,2013-08-31,0.106,CY
10302,2012-12-31,2013-06-30,2013-09-30,0.106,CY
10302,2012-12-31,2013-06-30,2013-10-31,0.106,CY
10302,2012-12-31,2013-09-30,2013-11-30,0.129,CY
10302,2012-12-31,2013-09-30,2013-12-31,0.129,CY
10302,2012-12-31,2013-09-30,2014-01-31,0.129,CY
10302,2013-12-31,2013-12-31,2014-02-28,0.114,CY
10302,2013-12-31,2013-12-31,2014-03-31,0.114,CY
10302,2013-12-31,2013-12-31,2014-04-30,0.114,CY
10302,2013-12-31,2014-03-31,2014-05-31,0.113,CY
10302,2013-12-31,2014-03-31,2014-06-30,0.113,CY
10302,2013-12-31,2014-03-31,2014-07-31,0.113,CY
10302,2013-12-31,2014-06-30,2014-08-31,0.104,CY
10302,2013-12-31,2014-06-30,2014-09-30,0.104,CY
10302,2013-12-31,2014-06-30,2014-10-31,0.104,CY
10302,2013-12-31,2014-09-30,2014-11-30,0.132,CY
10302,2013-12-31,2014-09-30,2014-12-31,0.132,CY
10302,2013-12-31,2014-09-30,2015-01-31,0.132,CY
10302,2014-12-31,2014-12-31,2015-02-28,0.089,CY
10302,2014-12-31,2014-12-31,2015-03-31,0.089,CY
10302,2014-12-31,2014-12-31,2015-04-30,0.089,CY
10302,2014-12-31,2015-03-31,2015-05-31,0.624,CY
10302,2014-12-31,2015-03-31,2015-06-30,0.624,CY
10302,2014-12-31,2015-03-31,2015-07-31,0.624,CY
10302,2014-12-31,2015-06-30,2015-08-31,0.718,CY
10302,2014-12-31,2015-06-30,2015-09-30,0.718,CY
10302,2014-12-31,2015-06-30,2015-10-31,0.718,CY
10302,2014-12-31,2015-09-30,2015-11-30,0.997,CY
10302,2014-12-31,2015-09-30,2015-12-31,0.997,CY
10302,2014-12-31,2015-09-30,2016-01-31,0.997,CY
10302,2015-12-31,2015-12-31,2016-02-29,0.836,CY
10302,2015-12-31,2015-12-31,2016-03-31,0.836,CY
10302,2015-12-31,2015-12-31,2016-04-30,0.836,CY
10302,2015-12-31,2016-03-31,2016-05-31,0.901,CY
10302,2015-12-31,2016-03-31,2016-06-30,0.901,CY
10302,2015-12-31,2016-03-31,2016-07-31,0.901,CY
10302,2015-12-31,2016-06-30,2016-08-31,0.582,CY
10302,2015-12-31,2016-06-30,2016-09-30,0.582,CY
10302,2015-12-31,2016-06-30,2016-10-31,0.582,CY
10302,2015-12-31,2016-09-30,2016-11-30,0.504,CY
10302,2015-12-31,2016-09-30,2016-12-31,0.504,CY
10302,2015-12-31,2016-09-30,2017-01-31,0.504,CY
10302,2016-12-31,2016-12-31,2017-02-28,0.513,CY
10302,2016-12-31,2016-12-31,2017-03-31,0.513,CY
10302,2016-12-31,2016-12-31,2017-04-30,0.513,CY
10302,2016-12-31,2017-03-31,2017-05-31,0.410,CY
10302,2016-12-31,2017-03-31,2017-06-30,0.410,CY
10302,2016-12-31,2017-03-31,2017-07-31,0.410,CY
10302,2016-12-31,2017-06-30,2017-08-31,0.407,CY
10302,2016-12-31,2017-06-30,2017-09-30,0.407,CY
10302,2016-12-31,2017-06-30,2017-10-31,0.407,CY
10302,2016-12-31,2017-09-30,2017-11-30,0.369,CY
10302,2016-12-31,2017-09-30,2017-12-31,0.369,CY
10302,2016-12-31,2017-09-30,2018-01-31,0.369,CY
10302,2017-12-31,2017-12-31,2018-02-28,0.340,CY
10302,2017-12-31,2017-12-31,2018-03-31,0.340,CY
10302,2017-12-31,2017-12-31,2018-04-30,0.340,CY
10302,2017-12-31,2018-03-31,2018-05-31,0.301,CY
10302,2017-12-31,2018-03-31,2018-06-30,0.301,CY
10302,2017-12-31,2018-03-31,2018-07-31,0.301,CY
10302,2017-12-31,2018-06-30,2018-08-31,0.331,CY
10302,2017-12-31,2018-06-30,2018-09-30,0.331,CY
10302,2017-12-31,2018-06-30,2018-10-31,0.331,CY
10302,2017-12-31,2018-09-30,2018-11-30,0.360,CY
10302,2017-12-31,2018-09-30,2018-12-31,0.360,CY
10302,2017-12-31,2018-09-30,2019-01-31,0.360,CY
10302,2018-12-31,2018-12-31,2019-02-28,0.460,CY
10302,2018-12-31,2018-12-31,2019-03-31,0.460,CY
10302,2018-12-31,2018-12-31,2019-04-30,0.460,CY
10302,2018-12-31,2019-03-31,2019-05-31,0.389,CY
10302,2018-12-31,2019-03-31,2019-06-30,0.389,CY
10302,2018-12-31,2019-03-31,2019-07-31,0.389,CY
10302,2018-12-31,2019-06-30,2019-08-31,0.258,CY
10302,2018-12-31,2019-06-30,2019-09-30,0.258,CY
10302,2018-12-31,2019-06-30,2019-10-31,0.258,CY
10302,2018-12-31,2019-09-30,2019-11-30,0.243,CY
10302,2018-12-31,2019-09-30,2019-12-31,0.243,CY
10302,2018-12-31,2019-09-30,2020-01-31,0.243,CY
10302,2019-12-31,2019-12-31,2020-02-29,0.242,CY
10302,2019-12-31,2019-12-31,2020-03-31,0.242,CY
10318,1998-12-31,1999-09-30,2000-01-31,0.636,BCP
10318,1999-12-31,1999-12-31,2000-02-29,0.479,BCP
10318,1999-12-31,1999-12-31,2000-03-31,0.479,BCP
10318,1999-12-31,1999-12-31,2000-04-30,0.479,BCP
10318,1999-12-31,2000-03-31,2000-05-31,0.442,BCP
10318,1999-12-31,2000-03-31,2000-06-30,0.442,BCP
10318,1999-12-31,2000-03-31,2000-07-31,0.442,BCP
10318,1999-12-31,2000-06-30,2000-08-31,0.357,BCP
10318,1999-12-31,2000-06-30,2000-09-30,0.357,BCP
10318,1999-12-31,2000-06-30,2000-10-31,0.357,BCP
10318,1999-12-31,2000-09-30,2000-11-30,0.342,BCP
10318,1999-12-31,2000-09-30,2000-12-31,0.342,BCP
10318,1999-12-31,2000-09-30,2001-01-31,0.342,BCP
10318,2000-12-31,2000-12-31,2001-02-28,0.324,BCP
10318,2000-12-31,2000-12-31,2001-03-31,0.324,BCP
10318,2000-12-31,2000-12-31,2001-04-30,0.324,BCP
10318,2000-12-31,2001-03-31,2001-05-31,0.286,BCP
10318,2000-12-31,2001-03-31,2001-06-30,0.286,BCP
10318,2000-12-31,2001-03-31,2001-07-31,0.286,BCP
10318,2000-12-31,2001-06-30,2001-08-31,0.268,BCP
10318,2000-12-31,2001-06-30,2001-09-30,0.268,BCP
10318,2000-12-31,2001-06-30,2001-10-31,0.268,BCP
10318,2000-12-31,2001-09-30,2001-11-30,0.247,BCP
10318,2000-12-31,2001-09-30,2001-12-31,0.247,BCP
10318,2000-12-31,2001-09-30,2002-01-31,0.247,BCP
10318,2001-12-31,2001-12-31,2002-02-28,0.256,BCP
10318,2001-12-31,2001-12-31,2002-03-31,0.256,BCP
10318,2001-12-31,2001-12-31,2002-04-30,0.256,BCP
10318,2001-12-31,2002-03-31,2002-05-31,0.269,BCP
10318,2001-12-31,2002-03-31,2002-06-30,0.269,BCP
10318,2001-12-31,2002-03-31,2002-07-31,0.269,BCP
10318,2001-12-31,2002-06-30,2002-08-31,0.270,BCP
10318,2001-12-31,2002-06-30,2002-09-30,0.270,BCP
10318,2001-12-31,2002-06-30,2002-10-31,0.270,BCP
10318,2001-12-31,2002-09-30,2002-11-30,0.312,BCP
10318,2001-12-31,2002-09-30,2002-12-31,0.312,BCP
10318,2001-12-31,2002-09-30,2003-01-31,0.312,BCP
10318,2002-12-31,2002-12-31,2003-02-28,0.300,BCP
10318,2002-12-31,2002-12-31,2003-03-31,0.300,BCP
10318,2002-12-31,2002-12-31,2003-04-30,0.300,BCP
10318,2002-12-31,2003-03-31,2003-05-31,0.449,BCP
10318,2002-12-31,2003-03-31,2003-06-30,0.449,BCP
10318,2002-12-31,2003-03-31,2003-07-31,0.449,BCP
10318,2002-12-31,2003-06-30,2003-08-31,0.343,BCP
10318,2002-12-31,2003-06-30,2003-09-30,0.343,BCP
10318,2002-12-31,2003-06-30,2003-10-31,0.343,BCP
10318,2002-12-31,2003-09-30,2003-11-30,0.410,BCP
10318,2002-12-31,2003-09-30,2003-12-31,0.410,BCP
10318,2002-12-31,2003-09-30,2004-01-31,0.410,BCP
10318,2003-12-31,2003-12-31,2004-02-29,0.379,BCP
10318,2003-12-31,2003-12-31,2004-03-31,0.379,BCP
10318,2003-12-31,2003-12-31,2004-04-30,0.379,BCP
10318,2003-12-31,2004-03-31,2004-05-31,0.346,BCP
10318,2003-12-31,2004-03-31,2004-06-30,0.346,BCP
10318,2003-12-31,2004-03-31,2004-07-31,0.346,BCP
10318,2003-12-31,2004-06-30,2004-08-31,0.345,BCP
10318,2003-12-31,2004-06-30,2004-09-30,0.345,BCP
10318,2003-12-31,2004-06-30,2004-10-31,0.345,BCP
10318,2003-12-31,2004-09-30,2004-11-30,0.335,BCP
10318,2003-12-31,2004-09-30,2004-12-31,0.335,BCP
10318,2003-12-31,2004-09-30,2005-01-31,0.335,BCP
10318,2004-12-31,2004-12-31,2005-02-28,0.305,BCP
10318,2004-12-31,2004-12-31,2005-03-31,0.305,BCP
10318,2004-12-31,2004-12-31,2005-04-30,0.305,BCP
10318,2004-12-31,2005-03-31,2005-05-31,0.321,BCP
10318,2004-12-31,2005-03-31,2005-06-30,0.321,BCP
10318,2004-12-31,2005-03-31,2005-07-31,0.321,BCP
10318,2004-12-31,2005-06-30,2005-08-31,0.261,BCP
10318,2004-12-31,2005-06-30,2005-09-30,0.261,BCP
10318,2004-12-31,2005-06-30,2005-10-31,0.261,BCP
10318,2004-12-31,2005-09-30,2005-11-30,0.299,BCP
10318,2004-12-31,2005-09-30,2005-12-31,0.299,BCP
10318,2004-12-31,2005-09-30,2006-01-31,0.299,BCP
10318,2005-12-31,2005-12-31,2006-02-28,0.282,BCP
10318,2005-12-31,2005-12-31,2006-03-31,0.282,BCP
10318,2005-12-31,2005-12-31,2006-04-30,0.282,BCP
10318,2005-12-31,2006-03-31,2006-05-31,0.265,BCP
10318,2005-12-31,2006-03-31,2006-06-30,0.265,BCP
10318,2005-12-31,2006-03-31,2006-07-31,0.265,BCP
10318,2005-12-31,2006-06-30,2006-08-31,0.285,BCP
10318,2005-12-31,2006-06-30,2006-09-30,0.285,BCP
10318,2005-12-31,2006-06-30,2006-10-31,0.285,BCP
10318,2005-12-31,2006-09-30,2006-11-30,0.338,BCP
10318,2005-12-31,2006-09-30,2006-12-31,0.338,BCP
10318,2005-12-31,2006-09-30,2007-01-31,0.338,BCP
10318,2006-12-31,2006-12-31,2007-02-28,0.270,BCPC
10318,2006-12-31,2006-12-31,2007-03-31,0.270,BCPC
10318,2006-12-31,2006-12-31,2007-04-30,0.270,BCPC
10318,2006-12-31,2007-03-31,2007-05-31,0.274,BCPC
10318,2006-12-31,2007-03-31,2007-06-30,0.274,BCPC
10318,2006-12-31,2007-03-31,2007-07-31,0.274,BCPC
10318,2006-12-31,2007-06-30,2007-08-31,0.280,BCPC
10318,2006-12-31,2007-06-30,2007-09-30,0.280,BCPC
10318,2006-12-31,2007-06-30,2007-10-31,0.280,BCPC
10318,2006-12-31,2007-09-30,2007-11-30,0.263,BCPC
10318,2006-12-31,2007-09-30,2007-12-31,0.263,BCPC
10318,2006-12-31,2007-09-30,2008-01-31,0.263,BCPC
10318,2007-12-31,2007-12-31,2008-02-29,0.246,BCPC
10318,2007-12-31,2007-12-31,2008-03-31,0.246,BCPC
10318,2007-12-31,2007-12-31,2008-04-30,0.246,BCPC
10318,2007-12-31,2008-03-31,2008-05-31,0.253,BCPC
10318,2007-12-31,2008-03-31,2008-06-30,0.253,BCPC
10318,2007-12-31,2008-03-31,2008-07-31,0.253,BCPC
10318,2007-12-31,2008-06-30,2008-08-31,0.265,BCPC
10318,2007-12-31,2008-06-30,2008-09-30,0.265,BCPC
10318,2007-12-31,2008-06-30,2008-10-31,0.265,BCPC
10318,2007-12-31,2008-09-30,2008-11-30,0.241,BCPC
10318,2007-12-31,2008-09-30,2008-12-31,0.241,BCPC
10318,2007-12-31,2008-09-30,2009-01-31,0.241,BCPC
10318,2008-12-31,2008-12-31,2009-02-28,0.265,BCPC
10318,2008-12-31,2008-12-31,2009-03-31,0.265,BCPC
10318,2008-12-31,2008-12-31,2009-04-30,0.265,BCPC
10318,2008-12-31,2009-03-31,2009-05-31,0.278,BCPC
10318,2008-12-31,2009-03-31,2009-06-30,0.278,BCPC
10318,2008-12-31,2009-03-31,2009-07-31,0.278,BCPC
10318,2008-12-31,2009-06-30,2009-08-31,0.303,BCPC
10318,2008-12-31,2009-06-30,2009-09-30,0.303,BCPC
10318,2008-12-31,2009-06-30,2009-10-31,0.303,BCPC
10318,2008-12-31,2009-09-30,2009-11-30,0.299,BCPC
10318,2008-12-31,2009-09-30,2009-12-31,0.299,BCPC
10318,2008-12-31,2009-09-30,2010-01-31,0.299,BCPC
10318,2009-12-31,2009-12-31,2010-02-28,0.242,BCPC
10318,2009-12-31,2009-12-31,2010-03-31,0.242,BCPC
10318,2009-12-31,2009-12-31,2010-04-30,0.242,BCPC
10318,2009-12-31,2010-03-31,2010-05-31,0.231,BCPC
10318,2009-12-31,2010-03-31,2010-06-30,0.231,BCPC
10318,2009-12-31,2010-03-31,2010-07-31,0.231,BCPC
10318,2009-12-31,2010-06-30,2010-08-31,0.242,BCPC
10318,2009-12-31,2010-06-30,2010-09-30,0.242,BCPC
10318,2009-12-31,2010-06-30,2010-10-31,0.242,BCPC
10318,2009-12-31,2010-09-30,2010-11-30,0.209,BCPC
10318,2009-12-31,2010-09-30,2010-12-31,0.209,BCPC
10318,2009-12-31,2010-09-30,2011-01-31,0.209,BCPC
10318,2010-12-31,2010-12-31,2011-02-28,0.199,BCPC
10318,2010-12-31,2010-12-31,2011-03-31,0.199,BCPC
10318,2010-12-31,2010-12-31,2011-04-30,0.199,BCPC
10318,2010-12-31,2011-03-31,2011-05-31,0.189,BCPC
10318,2010-12-31,2011-03-31,2011-06-30,0.189,BCPC
10318,2010-12-31,2011-03-31,2011-07-31,0.189,BCPC
10318,2010-12-31,2011-06-30,2011-08-31,0.171,BCPC
10318,2010-12-31,2011-06-30,2011-09-30,0.171,BCPC
10318,2010-12-31,2011-06-30,2011-10-31,0.171,BCPC
10318,2010-12-31,2011-09-30,2011-11-30,0.212,BCPC
10318,2010-12-31,2011-09-30,2011-12-31,0.212,BCPC
10318,2010-12-31,2011-09-30,2012-01-31,0.212,BCPC
10318,2011-12-31,2011-12-31,2012-02-29,0.201,BCPC
10318,2011-12-31,2011-12-31,2012-03-31,0.201,BCPC
10318,2011-12-31,2011-12-31,2012-04-30,0.201,BCPC
10318,2011-12-31,2012-03-31,2012-05-31,0.281,BCPC
10318,2011-12-31,2012-03-31,2012-06-30,0.281,BCPC
10318,2011-12-31,2012-03-31,2012-07-31,0.281,BCPC
10318,2011-12-31,2012-06-30,2012-08-31,0.272,BCPC
10318,2011-12-31,2012-06-30,2012-09-30,0.272,BCPC
10318,2011-12-31,2012-06-30,2012-10-31,0.272,BCPC
10318,2011-12-31,2012-09-30,2012-11-30,0.252,BCPC
10318,2011-12-31,2012-09-30,2012-12-31,0.252,BCPC
10318,2011-12-31,2012-09-30,2013-01-31,0.252,BCPC
10318,2012-12-31,2012-12-31,2013-02-28,0.260,BCPC
10318,2012-12-31,2012-12-31,2013-03-31,0.260,BCPC
10318,2012-12-31,2012-12-31,2013-04-30,0.260,BCPC
10318,2012-12-31,2013-03-31,2013-05-31,0.225,BCPC
10318,2012-12-31,2013-03-31,2013-06-30,0.225,BCPC
10318,2012-12-31,2013-03-31,2013-07-31,0.225,BCPC
10318,2012-12-31,2013-06-30,2013-08-31,0.233,BCPC
10318,2012-12-31,2013-06-30,2013-09-30,0.233,BCPC
10318,2012-12-31,2013-06-30,2013-10-31,0.233,BCPC
10318,2012-12-31,2013-09-30,2013-11-30,0.212,BCPC
10318,2012-12-31,2013-09-30,2013-12-31,0.212,BCPC
10318,2012-12-31,2013-09-30,2014-01-31,0.212,BCPC
10318,2013-12-31,2013-12-31,2014-02-28,0.190,BCPC
10318,2013-12-31,2013-12-31,2014-03-31,0.190,BCPC
10318,2013-12-31,2013-12-31,2014-04-30,0.190,BCPC
10318,2013-12-31,2014-03-31,2014-05-31,0.221,BCPC
10318,2013-12-31,2014-03-31,2014-06-30,0.221,BCPC
10318,2013-12-31,2014-03-31,2014-07-31,0.221,BCPC
10318,2013-12-31,2014-06-30,2014-08-31,0.269,BCPC
10318,2013-12-31,2014-06-30,2014-09-30,0.269,BCPC
10318,2013-12-31,2014-06-30,2014-10-31,0.269,BCPC
10318,2013-12-31,2014-09-30,2014-11-30,0.263,BCPC
10318,2013-12-31,2014-09-30,2014-12-31,0.263,BCPC
10318,2013-12-31,2014-09-30,2015-01-31,0.263,BCPC
10318,2014-12-31,2014-12-31,2015-02-28,0.225,BCPC
10318,2014-12-31,2014-12-31,2015-03-31,0.225,BCPC
10318,2014-12-31,2014-12-31,2015-04-30,0.225,BCPC
10318,2014-12-31,2015-03-31,2015-05-31,0.280,BCPC
10318,2014-12-31,2015-03-31,2015-06-30,0.280,BCPC
10318,2014-12-31,2015-03-31,2015-07-31,0.280,BCPC
10318,2014-12-31,2015-06-30,2015-08-31,0.290,BCPC
10318,2014-12-31,2015-06-30,2015-09-30,0.290,BCPC
10318,2014-12-31,2015-06-30,2015-10-31,0.290,BCPC
10318,2014-12-31,2015-09-30,2015-11-30,0.276,BCPC
10318,2014-12-31,2015-09-30,2015-12-31,0.276,BCPC
10318,2014-12-31,2015-09-30,2016-01-31,0.276,BCPC
10318,2015-12-31,2015-12-31,2016-02-29,0.277,BCPC
10318,2015-12-31,2015-12-31,2016-03-31,0.277,BCPC
10318,2015-12-31,2015-12-31,2016-04-30,0.277,BCPC
10318,2015-12-31,2016-03-31,2016-05-31,0.290,BCPC
